# Columns: time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,type
0,44.0,0.71,18.75,0.43,7.75,1.3,sitting
250,44.0,0.0,18.5,0.5,8.67,0.47,sitting
500,43.75,0.83,18.0,0.0,9.67,0.94,sitting
750,43.75,0.43,18.25,0.43,9.0,0.0,sitting
1000,43.75,0.43,18.0,0.0,9.0,0.0,sitting
1250,44.0,0.0,18.25,0.43,10.0,0.0,sitting
1500,44.0,0.0,18.0,0.0,10.75,1.09,sitting
1750,43.5,0.5,18.0,0.0,11.0,0.71,sitting
2000,44.0,0.0,18.0,0.0,12.0,0.0,sitting
2250,43.5,0.5,18.0,0.0,12.0,0.0,sitting
2500,43.33,0.47,18.0,0.0,12.75,0.83,sitting
2750,43.5,0.5,18.0,0.0,13.0,1.0,sitting
3000,44.0,0.0,18.0,0.0,12.5,0.5,sitting
3250,43.5,0.5,18.0,0.0,11.75,0.43,sitting
3500,43.5,0.5,18.0,0.0,9.5,1.5,sitting
3750,43.25,0.83,17.75,0.43,15.0,2.12,sitting
4000,43.5,0.5,16.67,0.47,18.33,0.47,sitting
4250,43.75,0.43,17.75,0.43,16.75,1.3,sitting
4500,43.5,0.5,18.25,0.43,16.0,0.71,sitting
4750,43.5,0.5,16.0,0.71,17.25,0.83,sitting
5000,43.5,0.5,13.75,0.83,19.0,0.71,sitting
5250,43.67,0.47,13.0,0.0,20.67,0.47,sitting
5500,43.5,0.5,13.0,0.0,20.25,0.83,sitting
5750,43.33,0.47,14.67,0.47,20.0,0.71,sitting
6000,43.5,0.5,15.0,0.0,19.5,0.87,sitting
6250,43.5,0.5,14.5,0.5,19.5,1.12,sitting
6500,43.5,0.5,14.5,0.5,19.25,0.83,sitting
6750,43.5,0.5,14.0,1.22,17.5,1.5,sitting
7000,43.5,0.5,11.75,0.43,15.75,1.48,sitting
7250,43.25,0.83,12.75,0.43,16.75,0.83,sitting
7500,43.25,0.83,12.0,0.0,18.0,0.0,sitting
7750,43.25,0.83,11.5,0.5,18.5,0.5,sitting
8000,43.5,0.5,10.75,0.43,18.25,0.43,sitting
8250,43.5,0.5,9.67,1.7,18.33,0.47,sitting
8500,43.0,0.71,12.75,0.43,20.5,0.5,sitting
8750,42.67,0.47,12.25,1.09,23.0,1.41,sitting
9000,42.5,0.5,16.5,1.5,18.0,1.22,sitting
9250,42.33,0.47,18.67,0.94,17.75,0.43,sitting
9500,42.0,0.0,19.5,0.5,13.25,2.68,sitting
9750,42.0,0.0,20.0,1.0,13.0,3.54,sitting
10000,42.0,0.0,19.25,0.83,20.0,2.35,sitting
10250,42.0,0.0,17.75,0.43,21.5,0.5,sitting
10500,42.0,0.0,17.75,0.43,21.5,0.5,sitting
10750,42.0,0.0,18.0,0.0,22.25,0.83,sitting
11000,42.0,0.0,18.25,0.43,21.25,0.43,sitting
11250,42.0,0.0,20.5,0.87,20.75,0.43,sitting
11500,42.0,0.0,18.75,1.3,20.75,0.83,sitting
11750,42.0,0.0,17.25,0.43,20.0,1.0,sitting
12000,42.0,0.0,17.0,0.82,21.0,0.0,sitting
12250,42.0,0.0,17.25,0.43,20.5,0.5,sitting
12500,42.0,0.0,18.0,0.0,20.67,0.47,sitting
12750,42.0,0.0,18.0,0.0,20.0,1.1,sitting
13000,42.0,0.0,18.5,0.5,19.0,0.0,sitting
13250,42.0,0.0,16.87,3.59,16.29,4.67,sitting
13500,42.0,0.0,17.77,2.59,17.29,3.67,sitting
13750,42.0,0.0,18.25,1.79,18.25,2.17,sitting
14000,42.0,0.0,18.0,1.58,15.75,2.59,sitting
14250,42.25,0.43,16.0,2.94,13.0,1.63,sitting
14500,43.5,0.5,18.25,0.83,4.0,0.71,sitting
14750,43.33,0.47,18.75,0.43,8.33,0.47,sitting
15000,43.5,0.5,18.5,0.5,8.0,1.41,sitting
15250,43.5,0.5,18.25,0.43,10.25,3.27,sitting
15500,43.5,0.5,18.0,0.0,14.5,0.87,sitting
15750,43.33,0.47,18.0,0.0,14.5,0.5,sitting
16000,43.5,0.5,18.0,0.0,15.0,0.0,sitting
16250,43.5,0.5,18.0,0.0,13.0,0.82,sitting
16500,43.5,0.5,18.0,0.0,11.75,0.43,sitting
16750,43.5,0.5,18.0,0.0,8.5,0.5,sitting
17000,43.5,0.5,17.67,0.47,6.0,0.82,sitting
17250,43.5,0.5,16.67,1.25,7.5,0.5,sitting
17500,43.75,0.43,12.67,0.94,5.5,4.5,sitting
